DATE,windspeed
2015-01-01,0.6687772000000001
2015-01-02,1.28611
2015-01-03,0.3601108
2015-01-05,2.8808864
2015-01-06,0.8745548
2015-01-07,0.6687772000000001
2015-01-08,0.7202216
2015-01-09,0.4629996
2015-01-11,0.4629996
2015-01-13,0.4629996
2015-01-14,0.6687772000000001
2015-01-15,0.6687772000000001
2015-01-17,0.514444
2015-01-18,1.3375544
2015-01-19,0.8231104
2015-01-20,0.8231104
2015-01-21,0.4629996
2015-01-22,0.8231104
2015-01-23,0.771666
2015-01-24,1.9548872
2015-01-26,0.5658884000000001
2015-01-27,0.4115552
2015-01-28,1.28611
2015-01-29,1.3375544
2015-01-30,1.9034428
2015-01-31,1.6976652
2015-02-01,0.9259992
2015-02-02,2.1606648
2015-02-03,1.9548872
2015-02-05,1.4918876
2015-02-06,0.514444
2015-02-07,0.7202216
2015-02-09,0.9774436
2015-02-10,1.7491096
2015-02-11,0.8231104
2015-02-12,0.8231104
2015-02-13,1.3889988
2015-02-14,0.6687772000000001
2015-02-16,0.8745548
2015-02-17,1.3889988
2015-02-18,0.6687772000000001
2015-02-19,0.4115552
2015-02-20,0.4629996
2015-02-22,1.6462208
2015-02-24,0.4629996
2015-02-25,1.2346656
2015-02-26,1.800554
2015-02-28,1.028888
2015-03-01,2.7265532
2015-03-02,2.9323308
2015-03-04,2.0063316
2015-03-05,2.057776
2015-03-06,1.6976652
2015-03-08,1.2346656
2015-03-09,1.4404432
2015-03-10,2.4693312
2015-03-11,1.5947764
2015-03-12,1.1317768
2015-03-14,1.8519984
2015-03-15,2.1092204
2015-03-16,0.6173328
2015-03-17,2.314998
2015-03-18,2.8808864
2015-03-19,1.6462208
2015-03-20,1.3889988
2015-03-21,1.9034428
2015-03-22,2.5207756
2015-03-23,1.3375544
2015-03-24,0.5658884000000001
2015-03-25,0.514444
2015-03-26,0.1028888
2015-03-27,1.6976652
2015-03-31,1.4404432
2015-04-01,0.771666
2015-04-02,1.028888
2015-04-03,2.1092204
2015-04-04,2.9837752
2015-04-05,1.2346656
2015-04-06,1.4918876
2015-04-07,0.9259992
2015-04-08,1.0803324
2015-04-09,3.2409972
2015-04-10,1.9034428
2015-04-14,1.8519984
2015-04-15,0.9259992
2015-04-16,0.8745548
2015-04-17,2.2121092
2015-04-19,1.1317768
2015-04-20,2.314998
2015-04-21,2.1092204
2015-04-22,2.314998
2015-04-23,0.6173328
2015-04-24,2.7265532
2015-04-25,4.9386624
2015-04-26,4.2184408
2015-04-27,3.1895528
2015-04-28,3.343886
2015-04-30,1.6976652
2015-05-01,1.7491096
2015-05-02,1.1317768
2015-05-03,0.6687772000000001
2015-05-05,1.028888
2015-05-06,0.6687772000000001
2015-05-07,1.5947764
2015-05-08,1.1317768
2015-05-10,1.3889988
2015-05-11,0.9774436
2015-05-12,1.0803324
2015-05-13,1.543332
2015-05-14,1.4918876
2015-05-15,2.3664424
2015-05-16,1.0803324
2015-05-17,0.6173328
2015-05-18,1.028888
2015-05-19,1.3375544
2015-05-20,2.1606648
2015-05-21,2.7779976
2015-05-28,1.3375544
2015-05-29,0.9774436
2015-05-31,2.0063316
2015-06-01,1.9034428
2015-06-02,2.1092204
2015-06-03,0.9774436
2015-06-04,3.4467748
2015-06-05,1.28611
2015-06-06,2.057776
2015-06-08,1.1317768
2015-06-09,2.9837752
2015-06-10,4.9386624
2015-06-11,3.086664
2015-06-12,1.5947764
2015-06-13,2.3664424
2015-06-14,1.3375544
2015-06-16,1.2346656
2015-06-17,2.314998
2015-06-18,2.0063316
2015-06-19,4.115552
2015-06-20,4.064107600000001
2015-06-21,4.115552
2015-06-22,3.7554412
2015-06-23,2.314998
2015-06-24,1.6976652
2015-06-25,2.9837752
2015-06-26,3.85833
2015-06-27,3.1381084
2015-06-28,3.0352196
2015-06-29,3.1895528
2015-06-30,2.4178868
2015-07-02,1.1832212
2015-07-03,1.8519984
2015-07-04,2.7265532
2015-07-05,2.6236644
2015-07-06,1.1832212
2015-07-07,1.3889988
2015-07-08,1.1317768
2015-07-09,1.6462208
2015-07-10,3.086664
2015-07-12,1.28611
2015-07-13,1.543332
2015-07-14,1.9034428
2015-07-15,2.2635536
2015-07-16,0.8745548
2015-07-17,1.6462208
2015-07-20,2.829442
2015-07-21,2.8808864
2015-07-22,3.2409972
2015-07-23,3.3953304
2015-07-24,1.9034428
2015-07-25,2.4693312
2015-07-26,1.4404432
2015-07-27,1.4918876
2015-07-28,1.4918876
2015-07-29,2.0063316
2015-07-31,1.28611
2015-08-02,0.7202216
2015-08-03,1.8519984
2015-08-04,2.314998
2015-08-05,1.1317768
2015-08-07,1.9034428
2015-08-08,0.9259992
2015-08-10,0.6173328
2015-08-12,1.1317768
2015-08-13,2.6236644
2015-08-14,1.800554
2015-08-15,1.28611
2015-08-16,0.514444
2015-08-17,0.6173328
2015-08-18,1.1832212
2015-08-19,3.2409972
2015-08-21,1.6976652
2015-08-23,1.9034428
2015-08-26,1.3889988
2015-08-27,1.9034428
2015-08-28,0.8231104
2015-08-29,0.514444
2015-08-30,1.5947764
2015-08-31,2.1092204
2015-09-01,3.086664
2015-09-03,1.1317768
2015-09-04,1.2346656
2015-09-05,2.4693312
2015-09-06,2.314998
2015-09-08,2.2121092
2015-09-09,2.057776
2015-09-10,1.4404432
2015-09-12,1.8519984
2015-09-13,0.771666
2015-09-14,0.7202216
2015-09-15,1.28611
2015-09-16,1.8519984
2015-09-17,3.7039968
2015-09-18,2.7779976
2015-09-19,1.0803324
2015-09-20,1.800554
2015-09-21,1.6462208
2015-09-22,0.9774436
2015-09-23,3.6525524
2015-09-24,3.3953304
2015-09-25,2.057776
2015-09-26,0.8745548
2015-09-27,0.9774436
2015-09-28,0.7202216
2015-09-30,0.5658884000000001
2015-10-02,0.771666
2015-10-04,0.6173328
2015-10-05,0.4115552
2015-10-06,0.4629996
2015-10-07,0.4629996
2015-10-08,0.514444
2015-10-10,1.1317768
2015-10-11,0.7202216
2015-10-12,2.5207756
2015-10-13,1.5947764
2015-10-15,1.3889988
2015-10-16,0.6173328
2015-10-17,0.7202216
2015-10-18,0.4115552
2015-10-19,0.6173328
2015-10-22,0.8745548
2015-10-23,1.4404432
2015-10-24,0.514444
2015-10-25,0.8745548
2015-10-26,1.1317768
2015-10-27,0.2057776
2015-10-28,1.028888
2015-10-29,1.6462208
2015-10-30,0.4115552
2015-10-31,0.3601108
2015-11-01,0.771666
2015-11-02,0.2057776
2015-11-03,0.4629996
2015-11-04,0.5658884000000001
2015-11-05,1.5947764
2015-11-06,0.6687772000000001
2015-11-08,0.6173328
2015-11-09,0.3086664
2015-11-10,0.514444
2015-11-11,1.800554
2015-11-12,1.1317768
2015-11-13,1.1832212
2015-11-14,0.7202216
2015-11-15,0.9774436
2015-11-16,1.3889988
2015-11-17,0.8745548
2015-11-18,0.5658884000000001
2015-11-19,0.4115552
2015-11-20,0.257222
2015-11-21,0.1028888
2015-11-22,0.4115552
2015-11-23,0.2057776
2015-11-24,0.4629996
2015-11-25,1.1832212
2015-11-26,0.257222
2015-11-27,1.4918876
2015-11-28,2.8808864
2015-11-29,1.6976652
2015-11-30,0.5658884000000001
2015-12-02,0.771666
2015-12-04,0.8745548
2015-12-05,0.1028888
2015-12-06,0.257222
2015-12-07,0.2057776
2015-12-08,0.2057776
2015-12-09,0.3086664
2015-12-10,0.9774436
2015-12-11,2.0063316
2015-12-12,0.7202216
2015-12-13,1.028888
2015-12-14,2.0063316
2015-12-15,1.0803324
2015-12-16,0.1028888
2015-12-17,0.4115552
2015-12-19,0.6173328
2015-12-20,0.514444
2015-12-21,0.257222
2015-12-22,0.257222
2015-12-23,0.514444
2015-12-24,1.6976652
2015-12-25,1.3889988
2015-12-26,1.0803324
2015-12-27,1.4918876
2015-12-28,2.1606648
2015-12-29,1.4404432
2015-12-31,0.257222
2016-01-01,0.0
2016-01-02,0.6687772000000001
2016-01-03,0.8745548
2016-01-04,0.2057776
2016-01-05,0.1543332
2016-01-06,0.1543332
2016-01-08,1.800554
2016-01-09,2.9837752
2016-01-10,1.2346656
2016-01-11,0.8231104
2016-01-12,0.3086664
2016-01-13,0.4629996
2016-01-14,0.7202216
2016-01-15,1.8519984
2016-01-16,2.7265532
2016-01-18,0.7202216
2016-01-19,1.1832212
2016-01-20,2.2121092
2016-01-21,2.2121092
2016-01-22,1.1832212
2016-01-25,0.514444
2016-01-26,0.257222
2016-01-27,0.7202216
2016-01-28,0.3601108
2016-01-29,0.6173328
2016-01-30,1.2346656
2016-01-31,1.9034428
2016-02-01,1.7491096
